x-axis,1,2,MATH
second,Volt,Volt,Volt/second
-17.7000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062500000207E+03
-17.6000E-06,+4.9273438454E+00,+19.5312500E-03,+9.7656249999794E+03
-17.5000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062500000000E+03
-17.4000E-06,+4.9312500954E+00,+27.3437500E-03,+3.9062499999862E+03
-17.3000E-06,+4.9312500954E+00,+27.3437500E-03,-20.7E-09
-17.2000E-06,+4.9273438454E+00,+23.4375000E-03,-5.8593749999932E+03
-17.1000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062500000000E+03
-17.0000E-06,+4.9273438454E+00,+19.5312500E-03,-3.9062500000067E+03
-16.9000E-06,+4.9273438454E+00,+23.4375000E-03,-5.8593749999867E+03
-16.8000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531250000333E+03
-16.7000E-06,+4.9273438454E+00,+23.4375000E-03,-11.7187499999800E+03
-16.6000E-06,+4.9273438454E+00,+19.5312500E-03,-5.8593750000000E+03
